SYM_NAME,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_CLASS,REFDES
CAP196,CAP POL_CAP196_100UF/50V,100uF/50V,,IC,C1
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C2
CAP196,CAP POL_CAP196_10UF/16V,10uF/16V,,IC,C3
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C4
CAP196,CAP POL_CAP196_10UF/16V,10uF/16V,,IC,C5
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C6
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C7
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C8
CAP196,CAP POL_CAP196_10UF/16V,10uF/16V,,IC,C9
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C10
CAPCK05,CAP NP_CAPCK05_15NF,15nF,,IC,C11
CAPCK05,CAP NP_CAPCK05_100NF,100nF,,IC,C12
CAP196,CAP POL_CAP196_10UF/16V,10uF/16V,,IC,C13
RES400,DIODE_RES400_1N5819,1N5819,,IC,D1
RES400,DIODE_RES400_1N4148,1N4148,,IC,D2
RES400,DIODE_RES400_1N4148,1N4148,,IC,D3
RES400,DIODE_RES400_1N4007,1N4007,,IC,D4
CAP196,LED_CAP196_POWER,POWER,,IC,D5
CAP196,LED_CAP196_HEALTHY,HEALTHY,,IC,D6
CAP196,LED_CAP196_FAULT,FAULT,,IC,D7
CAP196,LED_CAP196_RELAY ON,RELAY ON,,IC,D8
CAP196,RESISTOR_CAP196_1.1A,1.1A,,IC,F1
JUMPER2,CON2_JUMPER2_24V IN,24V IN,,IC,J1
JUMPER2,CON2_JUMPER2_AC IN,AC IN,,IC,J2
JUMPER2,CON2_JUMPER2_RELAY OUT,RELAY OUT,,IC,J3
JUMPER4,4 HEADER_JUMPER4_UART 4,UART 4,,IC,J4
JUMPER4,4 HEADER_JUMPER4_TEST,TEST,,IC,J5
RES400,RESISTOR_RES400_10,10,,IC,R1
RES400,RESISTOR_RES400_10K,10K,,IC,R2
RES400,RESISTOR_RES400_1.2K,1.2K,,IC,R3
RES400,RESISTOR_RES400_10K,10K,,IC,R4
RES400,RESISTOR_RES400_10K,10K,,IC,R5
RES400,RESISTOR_RES400_10K,10K,,IC,R6
RES400,RESISTOR_RES400_1K,1K,,IC,R7
RES400,RESISTOR_RES400_1K,1K,,IC,R8
RES400,RESISTOR_RES400_1K,1K,,IC,R9
RES400,RESISTOR_RES400_1K,1K,,IC,R10
TO220AB,MC7805C/TO_TO220AB_MC7805C,MC7805C,,IC,U1
DIP10028W600L1400,ATMEGA328P-PU_DIP10028W600L1400_ATMEGA328P-PU,ATMEGA328P-PU,,IC,U2
DIP10014W300L750,LM324_DIP10014W300L750_MCP6004,MCP6004,,IC,U3
DIP10016W300L800,ULN2003A_4_DIP10016W300L800_ULN2003A,ULN2003A,,IC,U4
